scenario_mode,load_level,seed,method,test_index,utility
aligned,light,17,LE-GRA[full_none],2,0.8992317597085614
aligned,light,17,LE-GRA[full_none],3,0.9537825465209475
aligned,light,17,LE-GRA[full_none],4,0.7082506041175934
aligned,light,17,LE-GRA[full_none],5,0.8957447783169407
aligned,light,17,LE-GRA[full_none],6,0.6436716401347501
aligned,light,17,LE-GRA[full_none],7,0.6109519076815015
aligned,light,17,LE-GRA[full_none],8,0.9586288984626598
aligned,light,17,LE-GRA[full_none],9,0.6471794124597214
aligned,light,17,LE-GRA[full_none],10,0.5749260094852396
aligned,light,17,LE-GRA[full_none],11,0.9443854077668492
aligned,light,17,LE-GRA[full_none],12,0.8985520744335159
aligned,light,17,LE-GRA[full_none],13,0.7119117766625863
aligned,light,17,LE-GRA[full_none],14,0.879078111650274
aligned,light,17,LE-GRA[full_none],15,0.7478324810007636
aligned,light,17,LE-GRA[full_none],16,0.8980201717231336
aligned,light,17,LE-GRA[full_none],17,0.7012603661864478
aligned,light,17,LE-GRA[full_none],18,0.9473404864480878
aligned,light,17,LE-GRA[full_none],19,0.9574173104772316
aligned,light,17,LE-GRA[full_none],20,0.9532506438105649
aligned,light,17,LE-GRA[full_none],21,0.9400709585355195
aligned,light,17,LE-GRA[full_none],22,0.9496158798542808
aligned,light,17,LE-GRA[full_none],23,0.6999172707842604
aligned,light,17,LE-GRA[full_none],24,0.8968085837377053
aligned,light,17,LE-GRA[full_none],25,0.948552074433516
aligned,light,17,LE-GRA[full_none],26,0.9004433476939896
aligned,light,17,LE-GRA[full_none],27,0.8926419170710388
aligned,light,17,LE-GRA[full_none],28,0.8968085837377053
aligned,light,17,LE-GRA[full_none],29,0.7207506041175935
aligned,light,17,LE-GRA[history_cost_utility],0,0.7686629014337704
aligned,light,17,LE-GRA[history_cost_utility],1,0.8957447783169407
aligned,light,17,LE-GRA[history_cost_utility],2,0.8992317597085616
